Delay (ps),Setting
0,0
19.919,25
39.934,50
60.044,75
80.25,100
100.55,125
120.95,150
141.43,175
162.01,200
182.69,225
203.45,250
224.31,275
245.25,300
266.29,325
287.42,350
308.63,375
329.93,400
351.32,425
372.8,450
394.36,475
416.01,500
437.75,525
459.6,550
481.55,575
503.6,600
525.76,625
548.01,650
570.36,675
592.81,700
615.35,725
637.98,750
660.71,775
683.53,800
706.44,825
729.44,850
752.53,875
775.7,900
798.96,925
822.3,950
845.73,975
869.23,1000
892.85,1025
916.61,1050
940.51,1075
964.52,1100
988.65,1125
1012.9,1150
1037.2,1175
1061.7,1200
1086.2,1225
1110.8,1250
1135.5,1275
1160.2,1300
1185,1325
1209.8,1350
1234.7,1375
1259.6,1400
1284.5,1425
1309.4,1450
1334.4,1475
1359.3,1500
1384.3,1525
1409.4,1550
1434.5,1575
1459.7,1600
1485,1625
1510.4,1650
1535.7,1675
1561.2,1700
1586.6,1725
1612.1,1750
1637.7,1775
1663.2,1800
1688.7,1825
1714.3,1850
1739.8,1875
1765.3,1900
1790.8,1925
1816.3,1950
1841.7,1975
1867.1,2000
1892.5,2025
1917.9,2050
1943.3,2075
1968.6,2100
1994,2125
2019.4,2150
2044.8,2175
2070.2,2200
2095.6,2225
2120.9,2250
2146.3,2275
2171.7,2300
2197,2325
2222.4,2350
2247.7,2375
2273,2400
2298.3,2425
2323.6,2450
2348.9,2475
2374.1,2500
2399.4,2525
2424.7,2550
2450.2,2575
2475.6,2600
2501.1,2625
2526.6,2650
2552.1,2675
2577.6,2700
2603.1,2725
2628.5,2750
2653.8,2775
2679.1,2800
2704.3,2825
2729.3,2850
2754.3,2875
2779.1,2900
2803.7,2925
2828.2,2950
2852.5,2975
2876.6,3000
2900.4,3025
2923.9,3050
2947.1,3075
2970.1,3100
2992.9,3125
3015.5,3150
3038,3175
3060.4,3200
3082.8,3225
3105.1,3250
3127.4,3275
3149.8,3300
3172.3,3325
3194.9,3350
3217.7,3375
3240.7,3400
3263.9,3425
3287.4,3450
3311.2,3475
3335.4,3500
3359.9,3525
3384.7,3550
3409.9,3575
3435.3,3600
3461,3625
3486.9,3650
3513,3675
3539.2,3700
3565.5,3725
3592,3750
3618.4,3775
3644.9,3800
3671.4,3825
3697.8,3850
3724.2,3875
3750.4,3900
3776.5,3925
3802.4,3950
3828.1,3975
3853.6,4000
