Delay (ps),Setting
0,0
25,25
52,50
88,75
110,100
134,125
150,150
187,175
200,200
236,225
262,250
283,275
310,300
322,325
339,350
351,375
383,400
432,425
444,450
475,475
503,500
524,525
537,550
584,575
623,600
646,625
643,650
693,675
744,700
748,725
780,750
817,775
819,800
861,825
883,850
905,875
971,900
969,925
1002,950
1010,975
1049,1000
1065,1025
1117,1050
1089,1075
1116,1100
1149,1125
1175,1150
1177,1175
1227,1200
1256,1225
1263,1250
1326,1275
1308,1300
1344,1325
1355,1350
1371,1375
1441,1400
1463,1425
1480,1450
1501,1475
1493,1500
1561,1525
1561,1550
1601,1575
1613,1600
1663,1625
1687,1650
1712,1675
1744,1700
1777,1725
1823,1750
1826,1775
1832,1800
1865,1825
1916,1850
1894,1875
1929,1900
1989,1925
1986,1950
2027,1975
2027,2000
2038,2025
2049,2050
2081,2075
2094,2100
2125,2125
2173,2150
2170,2175
2213,2200
2218,2225
2255,2250
2309,2275
2300,2300
2355,2325
2360,2350
2380,2375
2412,2400
2445,2425
2474,2450
2481,2475
2530,2500
2536,2525
2569,2550
2562,2575
2619,2600
2640,2625
2662,2650
2691,2675
2744,2700
2769,2725
2778,2750
2801,2775
2806,2800
2865,2825
2882,2850
2886,2875
2963,2900
2968,2925
2999,2950
3043,2975
3057,3000
3061,3025
3113,3050
3090,3075
3143,3100
3146,3125
3146,3150
3203,3175
3206,3200
3243,3225
3253,3250
3298,3275
3319,3300
3344,3325
3352,3350
3397,3375
3423,3400
3432,3425
3482,3450
3483,3475
3512,3500
3561,3525
3572,3550
3568,3575
3613,3600
3651,3625
3676,3650
3706,3675
3732,3700
3756,3725
3780,3750
3834,3775
3856,3800
3858,3825
3913,3850
3896,3875
3944,3900
3908,3925
3999,3950
4039,3975
3983,4000
4013,4025
4046,4050
4067,4075
4081,4100
4128,4125
4136,4150
4170,4175
4206,4200
4232,4225
4243,4250
4282,4275
4283,4300
4335,4325
4379,4350
4361,4375
4426,4400
4404,4425
4460,4450
4506,4475
4498,4500
4537,4525
4542,4550
4570,4575
4603,4600
4637,4625
4657,4650
4683,4675
4703,4700
4747,4725
4764,4750
4802,4775
4823,4800
4843,4825
4835,4850
4879,4875
4913,4900
4909,4925
4952,4950
4955,4975
4992,5000
5019,5025
5046,5050
5054,5075
5065,5100
5119,5125
5138,5150
5182,5175
5202,5200
5241,5225
5243,5250
5272,5275
5321,5300
5316,5325
5374,5350
5394,5375
5399,5400
5438,5425
5458,5450
5482,5475
5501,5500
5519,5525
5565,5550
5608,5575
5603,5600
5651,5625
5676,5650
5680,5675
5734,5700
5767,5725
5763,5750
5814,5775
5793,5800
5811,5825
5866,5850
5890,5875
5884,5900
5916,5925
5920,5950
5960,5975
6009,6000
5983,6025
6053,6050
6054,6075
6085,6100
6117,6125
6117,6150
6180,6175
