Delay (ps);Setting
0;0
27;25
70;50
65;75
99;100
109;125
151;150
150;175
198;200
209;225
247;250
263;275
278;300
318;325
349;350
386;375
410;400
447;425
472;450
489;475
498;500
503;525
571;550
607;575
632;600
645;625
660;650
707;675
761;700
769;725
771;750
814;775
831;800
853;825
891;850
900;875
916;900
929;925
961;950
956;975
1007;1000
1014;1025
1046;1050
1082;1075
1088;1100
1126;1125
1145;1150
1174;1175
1174;1200
1233;1225
1231;1250
1252;1275
1283;1300
1325;1325
1361;1350
1383;1375
1431;1400
1459;1425
1466;1450
1502;1475
1531;1500
1560;1525
1563;1550
1613;1575
1621;1600
1647;1625
1661;1650
1689;1675
1700;1700
1743;1725
1772;1750
1760;1775
1816;1800
1829;1825
1846;1850
1875;1875
1905;1900
1932;1925
1965;1950
1975;1975
2006;2000
2037;2025
2060;2050
2098;2075
2138;2100
2157;2125
2180;2150
2204;2175
2236;2200
2268;2225
2286;2250
2280;2275
2342;2300
2366;2325
2382;2350
2397;2375
2419;2400
2446;2425
2453;2450
2486;2475
2508;2500
2533;2525
2551;2550
2579;2575
2595;2600
2620;2625
2636;2650
2656;2675
2682;2700
2757;2725
2759;2750
2786;2775
2808;2800
2835;2825
2859;2850
2905;2875
2911;2900
2932;2925
2966;2950
3002;2975
3028;3000
3032;3025
3059;3050
3093;3075
3093;3100
3115;3125
3167;3150
3172;3175
3232;3200
3226;3225
3265;3250
3290;3275
3339;3300
3338;3325
3393;3350
3402;3375
3432;3400
3465;3425
3492;3450
3503;3475
3519;3500
3530;3525
3564;3550
3607;3575
3623;3600
3643;3625
3683;3650
3703;3675
3712;3700
3732;3725
3740;3750
3757;3775
3819;3800
3818;3825
3819;3850
3878;3875
3873;3900
3922;3925
3920;3950
3978;3975
3976;4000
4037;4025
4054;4050
4067;4075
4103;4100
4126;4125
4148;4150
4192;4175
4217;4200
4236;4225
4260;4250
4274;4275
4292;4300
4320;4325
4342;4350
4382;4375
4399;4400
4408;4425
4438;4450
4480;4475
4512;4500
4544;4525
4552;4550
4591;4575
4615;4600
4646;4625
4668;4650
4686;4675
4722;4700
4744;4725
4772;4750
4787;4775
4813;4800
4824;4825
4846;4850
4885;4875
4907;4900
4923;4925
4969;4950
4981;4975
4997;5000
5004;5025
5027;5050
5055;5075
5092;5100
5081;5125
5125;5150
5150;5175
5190;5200
5233;5225
5218;5250
5283;5275
5311;5300
5326;5325
5328;5350
5352;5375
5372;5400
5383;5425
5430;5450
5459;5475
5491;5500
5490;5525
5540;5550
5573;5575
5594;5600
5623;5625
5625;5650
5693;5675
5700;5700
5745;5725
5764;5750
5798;5775
5796;5800
5831;5825
5864;5850
5875;5875
5926;5900
5947;5925
5951;5950
5989;5975
5987;6000
6068;6025
6059;6050
6091;6075
6093;6100
6163;6125
6153;6150
6214;6175
6209;6200
6235;6225
6257;6250
6292;6275
6330;6300
6325;6325
6361;6350
6403;6375
6412;6400
6438;6425
6464;6450
6474;6475
6536;6500
6533;6525
6575;6550
6604;6575
6590;6600
6611;6625
6671;6650
6686;6675
6685;6700
6754;6725
6750;6750
6790;6775
6791;6800
6834;6825
6853;6850
6865;6875
6917;6900
6919;6925
6948;6950
6946;6975
6994;7000
7020;7025
7089;7050
7078;7075
7138;7100
7131;7125
7147;7150
7215;7175
7224;7200
7248;7225
7251;7250
7279;7275
7309;7300
7333;7325
7366;7350
7392;7375
7394;7400
7437;7425
7451;7450
7482;7475
7478;7500
7525;7525
7540;7550
7562;7575
7577;7600
7606;7625
7631;7650
7652;7675
7673;7700
7728;7725
7719;7750
7752;7775
7752;7800
7840;7825
7833;7850
7863;7875
7869;7900
7921;7925
7944;7950
7978;7975
8013;8000
8021;8025
8066;8050
8101;8075
8125;8100
8142;8125
8176;8150
8176;8175
8203;8200
8220;8225
8259;8250
8267;8275
8293;8300
8347;8325
8349;8350
8355;8375
8402;8400
8409;8425
8449;8450
8489;8475
8511;8500
8520;8525
8532;8550
8563;8575
8602;8600
8662;8625
8636;8650
8678;8675
8715;8700
8717;8725
8757;8750
8799;8775
8814;8800
8840;8825
8860;8850
8897;8875
8935;8900
8950;8925
8972;8950
8975;8975
9024;9000
9045;9025
9078;9050
9086;9075
9121;9100
9118;9125
9165;9150
9172;9175
9189;9200
9216;9225
9224;9250
9249;9275
9265;9300
9276;9325
9338;9350
9339;9375
9387;9400
9417;9425
9431;9450
9473;9475
9500;9500
