MCP (V),Setting
237,50
238,51
239,52
240,54
241,55
242,56
243,58
244,59
245,60
246,62
247,63
248,64
249,66
250,67
251,68
252,70
253,71
254,72
255,74
256,75
257,76
258,78
259,79
260,80
261,82
262,83
263,84
264,86
265,87
266,88
267,90
268,91
269,92
270,94
271,95
272,96
273,98
274,99
275,100
276,102
277,103
278,104
279,106
280,107
281,108
282,110
283,111
284,112
285,113
286,115
287,116
288,117
289,119
290,120
291,121
292,123
293,124
294,125
295,127
296,128
297,129
298,131
299,132
300,133
301,135
302,136
303,137
304,139
305,140
306,141
307,143
308,144
309,145
310,147
311,148
312,149
313,151
314,152
315,153
316,155
317,156
318,157
319,159
320,160
321,161
322,163
323,164
324,165
325,167
326,168
327,169
328,171
329,172
330,173
331,175
332,176
333,177
334,179
335,180
336,181
337,182
338,184
339,185
340,186
341,188
342,189
343,190
344,192
345,193
346,194
347,196
348,197
349,198
350,200
351,201
352,202
353,204
354,205
355,206
356,208
357,209
358,210
359,212
360,213
361,214
362,216
363,217
364,218
365,220
366,221
367,222
368,224
369,225
370,226
371,228
372,229
373,230
374,232
375,233
376,234
377,236
378,237
379,238
380,240
381,241
382,242
383,244
384,245
385,246
386,248
387,249
388,250
389,251
390,253
391,254
392,255
393,257
394,258
395,259
396,261
397,262
398,263
399,265
400,266
401,267
402,269
403,270
404,271
405,273
406,274
407,275
408,277
409,278
410,279
411,281
412,282
413,283
414,285
415,286
416,287
417,289
418,290
419,291
420,293
421,294
422,295
423,297
424,298
425,299
426,301
427,302
428,303
429,305
430,306
431,307
432,309
433,310
434,311
435,313
436,314
437,315
438,317
439,318
440,319
441,320
442,322
443,323
444,324
445,326
446,327
447,328
448,330
449,331
450,332
451,334
452,335
453,336
454,338
455,339
456,340
457,342
458,343
459,344
460,346
461,347
462,348
463,350
464,351
465,352
466,354
467,355
468,356
469,358
470,359
471,360
472,362
473,363
474,364
475,366
476,367
477,368
478,370
479,371
480,372
481,374
482,375
483,376
484,378
485,379
486,380
487,382
488,383
489,384
490,386
491,387
492,388
493,390
494,391
495,392
496,393
497,395
498,396
499,397
500,399
501,400
502,401
503,403
504,404
505,405
506,407
507,408
508,409
509,411
510,412
511,413
512,415
513,416
514,417
515,419
516,420
517,421
518,423
519,424
520,425
521,427
522,428
523,429
524,431
525,432
526,433
527,435
528,436
529,437
530,439
531,440
532,441
533,443
534,444
535,445
536,447
537,448
538,449
539,451
540,452
541,453
542,455
543,456
544,457
545,459
546,460
547,461
548,462
549,464
550,465
551,466
552,468
553,469
554,470
555,472
556,473
557,474
558,476
559,477
560,478
561,480
562,481
563,482
564,484
565,485
566,486
567,488
568,489
569,490
570,492
571,493
572,494
573,496
574,497
575,498
576,500
577,501
578,502
579,504
580,505
581,506
582,508
583,509
584,510
585,512
586,513
587,514
588,516
589,517
590,518
591,520
592,521
593,522
594,524
595,525
596,526
597,528
598,529
599,530
600,531
601,533
602,534
603,535
604,537
605,538
606,539
607,541
608,542
609,543
610,545
611,546
612,547
613,549
614,550
615,551
616,553
617,554
618,555
619,557
620,558
621,559
622,561
623,562
624,563
625,565
626,566
627,567
628,569
629,570
630,571
631,573
632,574
633,575
634,577
635,578
636,579
637,581
638,582
639,583
640,585
641,586
642,587
643,589
644,590
645,591
646,593
647,594
648,595
649,597
650,598
651,599
652,600
653,602
654,603
655,604
656,606
657,607
658,608
659,610
660,611
661,612
662,614
663,615
664,616
665,618
666,619
667,620
668,622
669,623
670,624
671,626
672,627
673,628
674,630
675,631
676,632
677,634
678,635
679,636
680,638
681,639
682,640
683,642
684,643
685,644
686,646
687,647
688,648
689,650
690,651
691,652
692,654
693,655
694,656
695,658
696,659
697,660
698,662
699,663
700,664
701,666
702,667
703,668
704,669
705,671
706,672
707,673
708,675
709,676
710,677
711,679
712,680
713,681
714,683
715,684
716,685
717,687
718,688
719,689
720,691
721,692
722,693
723,695
724,696
725,697
726,699
727,700
728,701
729,703
730,704
731,705
732,707
733,708
734,709
735,711
736,712
737,713
738,715
739,716
740,717
741,719
742,720
743,721
744,723
745,724
746,725
747,727
748,728
749,729
750,731
751,732
752,733
753,735
754,736
755,737
756,739
757,740
758,741
759,742
760,744
761,745
762,746
763,748
764,749
765,750
766,752
767,753
768,754
769,756
770,757
771,758
772,760
773,761
774,762
775,764
776,765
777,766
778,768
779,769
780,770
781,772
782,773
783,774
784,776
785,777
786,778
787,780
788,781
789,782
790,784
791,785
792,786
793,788
794,789
795,790
796,792
797,793
798,794
799,796
800,797
801,798
802,800
803,801
804,802
805,804
806,805
807,806
808,808
809,809
810,810
811,811
812,813
813,814
814,815
815,817
816,818
817,819
818,821
819,822
820,823
821,825
822,826
823,827
824,829
825,830
826,831
827,833
828,834
829,835
830,837
831,838
832,839
833,841
834,842
835,843
836,845
837,846
838,847
839,849
840,850
841,851
842,853
843,854
844,855
845,857
846,858
847,859
848,861
849,862
850,863
