Delay (ps);Setting
0;0
25;25
50;50
75;75
100;100
125;125
150;150
175;175
200;200
225;225
250;250
275;275
300;300
325;325
350;350
375;375
400;400
425;425
450;450
475;475
500;500
525;525
550;550
575;575
600;600
625;625
650;650
675;675
700;700
725;725
750;750
775;775
800;800
825;825
850;850
875;875
900;900
925;925
950;950
975;975
1000;1000
1025;1025
1050;1050
1075;1075
1100;1100
1125;1125
1150;1150
1175;1175
1200;1200
1225;1225
1250;1250
1275;1275
1300;1300
1325;1325
1350;1350
1375;1375
1400;1400
1425;1425
1450;1450
1475;1475
1500;1500
1525;1525
1550;1550
1575;1575
1600;1600
1625;1625
1650;1650
1675;1675
1700;1700
1725;1725
1750;1750
1775;1775
1800;1800
1825;1825
1850;1850
1875;1875
1900;1900
1925;1925
1950;1950
1975;1975
2000;2000
2025;2025
2050;2050
2075;2075
2100;2100
2125;2125
2150;2150
2175;2175
2200;2200
2225;2225
2250;2250
2275;2275
2300;2300
2325;2325
2350;2350
2375;2375
2400;2400
2425;2425
2450;2450
2475;2475
2500;2500
2525;2525
2550;2550
2575;2575
2600;2600
2625;2625
2650;2650
2675;2675
2700;2700
2725;2725
2750;2750
2775;2775
2800;2800
2825;2825
2850;2850
2875;2875
2900;2900
2925;2925
2950;2950
2975;2975
3000;3000
3025;3025
3050;3050
3075;3075
3100;3100
3125;3125
3150;3150
3175;3175
3200;3200
3225;3225
3250;3250
3275;3275
3300;3300
3325;3325
3350;3350
3375;3375
3400;3400
3425;3425
3450;3450
3475;3475
3500;3500
3525;3525
3550;3550
3575;3575
3600;3600
3625;3625
3650;3650
3675;3675
3700;3700
3725;3725
3750;3750
3775;3775
3800;3800
3825;3825
3850;3850
3875;3875
3900;3900
3925;3925
3950;3950
3975;3975
4000;4000
4025;4025
4050;4050
4075;4075
4100;4100
4125;4125
4150;4150
4175;4175
4200;4200
4225;4225
4250;4250
4275;4275
4300;4300
4325;4325
4350;4350
4375;4375
4400;4400
4425;4425
4450;4450
4475;4475
4500;4500
4525;4525
4550;4550
4575;4575
4600;4600
4625;4625
4650;4650
4675;4675
4700;4700
4725;4725
4750;4750
4775;4775
4800;4800
4825;4825
4850;4850
4875;4875
4900;4900
4925;4925
4950;4950
4975;4975
5000;5000
5025;5025
5050;5050
5075;5075
5100;5100
5125;5125
5150;5150
5175;5175
5200;5200
5225;5225
5250;5250
5275;5275
5300;5300
5325;5325
5350;5350
5375;5375
5400;5400
5425;5425
5450;5450
5475;5475
5500;5500
5525;5525
5550;5550
5575;5575
5600;5600
5625;5625
5650;5650
5675;5675
5700;5700
5725;5725
5750;5750
5775;5775
5800;5800
5825;5825
5850;5850
5875;5875
5900;5900
5925;5925
5950;5950
5975;5975
6000;6000
6025;6025
6050;6050
6075;6075
6100;6100
6125;6125
6150;6150
6175;6175
6200;6200
